"NUMERO","ORIGEN","r0A_COMUNA","r0B_MACR_ ZONA","r0B_CALLE_1","r0B_CALLE_2","r0C_GENERO","r0D_EDAD","r0E_PESO","r0F_ALTURA","r0G_EDUCACION","r0H_OCUPACION","r0I_COM_TRAB_1","r0I_COM_TRAB_2","r0J_INGRESO","r0K_ADULTOS","r0L_MENORES","r0N_LICENCIA","r0M_DISCAPA","r0O_TIPO","r0P_MODO1","r0Q_MODO2","r0R_MODO3","r1A_ESTRES","r1B_ESFUERZO","r1C_CERCANIA","r1D_CONTAM","r1E_SEGUR","r1F_COMOD","r1GA_ESTRES","r1GB_ESFUER","r1GC_CERC","r1GD_CONTAM","r1GE_SEGUR","r1GF_COMOD","r2AA_LIBERTAD","r2AB_INSEG","r2AC_FUNCIONA","r2AD_ENTRET","r2AE_COSTO","r2AF_POBREZ","r2AG_SEGURIDAD","r2AH_TIEMPO","r2AI_IMPUNT","r2AJ_CONGEST","r2AK_EFICIENC","r2AL_LUJO","r2AM_AMBIENT","r2AN_SALUD","r2AO_INTSOCI","r2AP_INCOM","r2AQ_FELICID","r2AR_ESTAT","r2B_DISFRUT","r2C_IMPORT","r2D_AFECTA","r2E_FACILIT","r3A_ACCESS","r3B_ACC_EM","r3CA_FAM","r3CB_REC","r3CC_CUL","r3CD_DEP","r3CE_COM","r3CF_SOC","r3DA_FAM","r3DB_REC","r3DC_CUL","r3DD_DEP","r3DE_COM","r3DF_SOC","r3E_OPCIONES","r3F_ACCESO","r3G_CALIDAD","r3H_ECON","r3I_NOECON","r3JA_OFIC","r3JB_MODOS","r3JC_COMOD","r3JD_OTROS","r4A_INTERACC","r4B_PERSON","r4C_DISCRIM","r4D_MODO","r5A_CAMBIO","r5B_CAMBIO","r5C_SUST","r5D_IMP_SUST","r5E_PAGO","r5F_PAGOMAS","r5GA_ARBOL","r5GB_PARK","r5GC_MODO","r5GD_MODO","r6A_INTERC","r6B_CALIDAD","r6CA_ESPERA","r6CB_TRANSB","r6CC_TOTAL","r6D_DIFICULTA","r6E_HERRAM","r6F_INFO","r6G_IMP_INFO","r7AA_AUTO","r7AB_EST","r7AC_AUTOP","r7AD_PEATON","r7AE_VERED","r7AF_PARAD","r7AG_ASIENT","r7AH_CLIMA","r7AI_CICLOV","r7AJ_CICLOV","r7AK_BICI","r7BA_AUTO","r7BB_EST","r7BC_AUTOP","r7BD_PEATON","r7BE_VERED","r7BF_PARAD","r7BG_ASIENT","r7BH_CLIMA","r7BI_CICLOV","r7BJ_CICLOV","r7BK_BICI","r8A_ACCESO","r8B_OPORT","r8C_ACC_COM","r8D_EMPLEO","r8E_TIEMPO","r8F_HORARIOS","r8G_GASTO"
95,NA,"ÑUÑOA","ORIENTE","OSSA","IRARRAZAVAL","B","B",70,175,"D","F","SANTIAGO","ÑUÑOA","F",3,2,"A","B",NA,"E","A","F",2,1,2,3,5,2,5,5,3,1,3,5,"ADGH","D","A","ADG","GH","H","A","F","F","ABCF","BGH","A","GH","GH","EF","EF","ADGH","H",1,5,"A","F",3,2,5,5,3,3,2,4,5,3,3,4,5,3,5,5,5,"AEGH",NA,3,5,5,5,"4",5,"B",NA,"A","A",1,5,"B",NA,5,5,5,5,"B",NA,"1","1","1","C","A",5,5,5,5,5,3,3,1,2,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,"D","A","A"
136,NA,"MACUL","SUR ORIENTE","QUILIN","MACUL","B","B",60,173,"B","F","SANTIAGO",NA,"E",2,1,"B","B",NA,"E","A","F",2,3,3,3,4,2,4,3,3,3,4,3,"ABGH","DFH","ABCEF","G","GH","H","A","FGH","CF","ABCDF","ABEG","AB","GH","GH","EF","F","G","AB",2,4,"G","DFH",3,3,2,3,2,3,2,2,2,2,2,3,3,2,3,3,4,"AEFH","B",2,3,3,3,"3",2,"B",NA,"B",NA,1,3,"B",NA,2,2,2,2,"B",NA,"3","2","2","B","A",3,2,4,3,3,2,2,2,2,2,1,1,1,2,2,3,4,4,4,4,3,3,3,3,2,2,3,NA,"D","A","A"
151,NA,"SAN JOAQUIN","SUR","SANTA ROSA","DEPARTAMENTAL","B","D",80,170,"C","A","QUINTA NORMAL",NA,"E",2,4,"A","B",NA,"E","F",NA,1,1,1,1,1,1,5,5,5,5,5,5,"H","F","A","G","G","H","A","F","F","F","A","B","G","H","H","F","H","A",1,5,"D","D",2,3,1,2,2,2,3,1,NA,NA,NA,2,NA,NA,5,5,5,"A","B",NA,NA,5,NA,"1",1,"A","F","A","A",2,5,"A","A",NA,NA,NA,5,"A",1,"1","1","1","F","A",3,5,3,3,2,1,1,1,1,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,"D","A","B"
154,NA,"MAIPU","PONIENTE","CAMINO MELIPILLA","3 PONIENTE","A","D",74,174,"C","A","PROVIDENCIA","QUINTA NORMAL","B",1,2,"A","B",NA,"E","F","C",3,3,2,2,1,1,5,3,3,5,5,4,"H","BEFH","AE","AH","DGH",NA,NA,"F","F","AEF","EF",NA,"GH","AGH","E","EF","AH",NA,2,5,"GH","GH",2,3,4,3,3,2,2,3,3,3,3,3,3,3,5,5,5,"ABCEFH",NA,5,5,5,5,"3",3,"A","BEF","B",NA,4,5,"B",NA,4,4,4,4,"A",3,"2","2","3","BC","A",2,3,2,2,4,3,3,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,3,3,4,NA,"D","AC","C"
20,"AUTOS","PEÑAFLOR","SUR PONIENTE",NA,NA,"A","D",55,156,"C","A","PUDAHUEL",NA,"A",2,1,"B","B",NA,"F",NA,NA,5,3,1,1,1,2,5,5,5,5,5,5,"GH","G","H","G","G","H","AH","AH","H","A","F","A","G","GH","H","F","H","D",5,4,"G","G",5,5,5,1,3,5,5,1,5,5,1,5,5,5,5,5,5,"F","A",5,5,5,5,"5",5,"A","H","A","E",5,5,"B",NA,5,5,5,5,"A",3,"5","1","3","F","A",5,5,5,1,5,5,2,5,5,5,5,5,5,5,1,4,5,5,5,5,3,2,3,5,4,1,5,5,"D","F","A"
117,NA,"HUECHURABA","NORTE","PEDRO FONTOVA","VESPUCIO","A","B",52,155,"B","F","SANTIAGO",NA,"B",3,2,"B","B",NA,"E","F","A",4,2,2,4,2,2,5,4,1,3,5,3,NA,"D","C",NA,NA,NA,NA,NA,"B","A","E","A","G","G","F",NA,"H",NA,2,5,"D","D",3,3,1,1,1,1,4,4,4,2,1,1,5,5,5,5,5,"ABCEFGH","D",4,4,4,5,"3",3,"A","E","B",NA,5,5,"B",NA,1,3,5,5,"A",4,"3","2","1","C","A",3,1,3,5,5,4,3,5,5,5,5,3,1,5,5,3,5,5,5,5,5,5,5,3,1,3,5,5,"D","BE","A"
4,"AUTOS","SAN MIGUEL","SUR","GRAN AVENIDA","SANTA ROSA","B","E",85,179,"B","A","PUDAHUEL",NA,"B",2,1,"B","B",NA,"F","E","H",2,2,5,1,2,1,3,2,2,2,2,3,"H","E","F","F","G","F","B","F","F","F","E","D","G","H","H","F","H","A",2,5,"A","A",5,5,1,4,5,3,5,5,2,3,3,4,4,3,4,NA,5,"F","B",2,1,5,4,"5",5,"B",NA,"B",NA,4,4,"B",NA,5,5,5,5,"A",3,"3","2","1","C","B",3,3,3,2,4,2,2,2,2,4,2,2,4,1,1,3,3,3,5,5,2,4,4,5,4,3,5,5,"D","A","A"
182,NA,"PUENTE ALTO","SUR ORIENTE","VICUÑA MACKENNA","GABRIELA","B","B",85,173,"D","F","ESTACION CENTRAL",NA,"C",4,0,"B","B",NA,"E","F","A",3,1,1,2,4,1,5,5,2,3,5,2,"ADGH","F","ABCE","EGH","EFGH","FGH","ABCE","CFGH","F","ABF","EGH","AB","EGH","GH","FH","EF","AGH","AB",2,3,"G","F",5,5,1,2,2,1,1,1,1,1,4,1,3,5,4,4,5,"TODAS",NA,5,5,3,5,"4",1,"B",NA,"B",NA,4,4,"A","A",5,4,5,5,"A",2,"1","4","1","C","A",5,5,5,5,5,5,3,2,2,2,1,4,2,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,"D","AE","A"
218,NA,"PUDAHUEL","PONIENTE","SAN PABLO",NA,"B","E",98,167,"A","C","LAS CONDES","LA REINA","A",3,2,"A","B",NA,"E","F","A",4,5,5,3,1,4,2,5,5,5,5,5,"H","F","E","F","G","A","E","H","F","F","F",NA,"F","H","G","E","A","A",2,5,"G","G",2,2,3,1,2,3,4,4,4,3,1,3,5,4,5,5,5,"E","B",3,5,4,1,"1",1,"B",NA,"B",NA,4,5,"B",NA,5,5,4,4,"A",3,"4","4","3","F","B",1,2,1,3,5,2,3,5,4,3,2,1,1,2,3,5,5,5,5,5,4,3,5,3,5,2,5,5,"D","A","B"
384,NA,"BUIN","SUR PONIENTE",NA,NA,"A","B",NA,NA,"B","A","BUIN",NA,"A",5,1,"B","B",NA,"C","A","D",3,5,1,1,2,2,2,4,1,3,1,1,"AGH","DEGH","AC","ABE","GH","GH","ABCE","ABCDEF","CEF","ABCDF","GH","ADG","GH","GH","BCEF","BCEF","AGH","ACG",3,4,"G","G",3,5,5,5,1,1,4,1,5,5,1,1,4,1,4,5,5,"ACGH",NA,5,4,5,5,"2",1,"B",NA,"B",NA,4,5,"A","C",4,3,3,2,"B",NA,"1","2","1","C","A",3,5,3,4,3,1,1,1,1,1,1,1,1,4,5,4,4,4,4,4,4,4,4,4,5,2,3,5,"D","AD","D"
17,"AUTOS","SAN BERNARDO","SUR","LO BLANCO",NA,"B","E",100,180,"C","A","PUDAHUEL",NA,"A",2,0,"A","B",NA,"F","A",NA,2,4,3,1,2,2,5,5,5,5,5,5,"H","D","A","G","H","H","H","EF","F","EF","F","A","G","H","A","E","GH","A",4,4,"C","B",4,4,4,5,3,5,5,4,NA,NA,NA,NA,NA,NA,5,3,5,"ABCFGH","AB",4,5,5,5,"3",4,"B",NA,"B",NA,3,5,"A","C",3,5,4,5,"A",4,"3","3","3","F","B",3,4,3,4,3,4,4,4,4,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,"D","F","C"
219,NA,"CERRO NAVIA","PONIENTE","AV NEPTUNO","SALVADOR GUTIERREZ","A","D",60,158,"B","C","LA REINA",NA,"A",2,1,"B","B",NA,"E","F",NA,2,2,3,2,1,1,NA,NA,NA,NA,NA,NA,"A","F",NA,NA,"G","B","E","F","F","F","F",NA,"E","H",NA,"F","A","B",1,5,"G","G",1,1,1,1,1,1,3,1,1,1,1,1,5,1,5,5,5,"BF","B",5,5,5,5,"3",1,"B",NA,"B",NA,3,5,"B",NA,5,5,5,5,"B",NA,"1","2","1","F","B",1,5,5,5,5,4,3,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,"D","C","A"
222,NA,"EL BOSQUE","SUR","LOS MORROS","MALLORCA","A","D",81,150,"A","A","LA REINA",NA,"A",2,0,"B","B",NA,"E","F",NA,2,2,3,2,1,1,NA,NA,NA,NA,NA,NA,"H","F",NA,NA,"G","B","E","F","F","F","F",NA,"E","H",NA,"F","A","A",1,5,"G","G",1,1,1,1,1,1,4,1,1,1,1,1,5,1,5,5,5,"F","B",5,5,5,5,"3",1,"B",NA,"B",NA,3,5,"B",NA,5,5,5,5,"A",3,"1","1","3","F","B",1,5,1,1,3,5,3,1,5,3,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,"D","B","A"
223,NA,"SAN JOAQUIN","SUR","DEPARTAMENTAL","vicuña mackenna","B","D",84,176,"B","A","LAS CONDES",NA,"B",3,1,"A","B",NA,"E","F","H",3,3,2,2,3,2,3,3,2,2,3,2,"H","DG","E","H","H","H","AB","F","F","F","A","A","H","H","H","E","GH","A",2,5,"D","DE",5,5,2,2,2,2,3,3,4,4,4,3,3,3,4,4,5,"AH","B",3,3,4,5,"2",2,"B",NA,"A","A",3,4,"A","A",5,5,5,5,"A",3,"4","2","3","BCE","B",3,3,5,5,3,3,3,2,2,3,2,2,1,3,3,3,4,4,4,4,5,5,5,3,1,3,5,5,"D","E","B"
293,NA,"LA FLORIDA","SUR ORIENTE","CENTRAL","SANTA CECILIA","A","D",100,170,"D","A","PUENTE ALTO",NA,"A",6,1,"B","B",NA,"E","F","A",1,1,1,1,2,1,5,3,5,5,5,5,"H","G","A","G","G","F","A","F","F","EF","A","A","GH","GH","H","E","H","AD",2,5,"G","G",1,2,2,2,1,1,4,5,4,5,5,5,3,3,5,5,5,"ABCEF",NA,5,5,5,3,"1",3,"A","B","A","BC",3,3,"B",NA,3,4,5,5,"A",3,"1","3","1","F","B",3,4,2,1,5,5,4,4,1,1,1,1,1,4,4,4,5,5,5,5,5,3,3,3,1,1,1,5,"D","A","B"
391,NA,"PIRQUE","SUR ORIENTE","CONCHA Y TORO","EYZAGUIRRE","A","E",62,158,"C","A","PEÑALOLEN",NA,"D",NA,NA,"A","B",NA,"A",NA,NA,3,1,3,3,3,3,5,4,4,5,5,5,"A","G","E","H","H","H","A","F","E","E","E","A","H","H","H","D","A","A",1,5,"ABCDF","G",2,3,3,1,1,1,3,3,5,5,5,5,5,5,5,5,5,"AE",NA,5,5,5,5,"3",2,"B",NA,"B",NA,3,4,"A","A",3,3,3,3,"B",NA,"1",NA,"1",NA,"A",3,4,2,1,3,5,5,3,3,3,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,3,5,5,"D","A","D"
406,NA,"QUINTA NORMAL","PONIENTE","SALVADOR GUTIERREZ","WALKER MARTINEZ","B","C",76,183,"C","A","LAS CONDES",NA,"C",2,1,"A","B",NA,"F","A",NA,1,1,NA,2,2,1,5,3,2,5,5,5,"D","D","A","A","H","H","A","F","F","F","A","A","G","G","F","F","A","A",1,5,"ADF","ACDF",4,3,1,1,1,1,1,1,3,3,3,3,3,3,5,4,3,"ACEF","B",3,5,5,5,"3",3,"B",NA,"A","A",3,3,"A","A",4,4,4,4,"A",3,"3","3","3","B","A",3,3,3,3,4,3,2,2,2,2,2,2,2,3,3,5,5,5,5,5,5,5,5,5,3,2,3,5,"D","A","B"
15,"AUTOS","RECOLETA","NORTE","RECOLETA","ZAPADORES","B","C",89,185,"C","A","PUDAHUEL",NA,"B",1,0,"A","B",NA,"F","E","H",3,3,3,1,3,1,3,2,3,1,1,1,"G","F","D","G","G","H","B","F","F","F","D","B","G","H","G","F","H","B",2,3,"A","B",3,3,3,3,2,5,3,2,2,2,2,2,2,2,5,2,5,"F","H",5,5,5,5,"3",4,"A","F","A","B",2,3,"B",NA,4,3,4,5,"A",3,"1","2","3","B","A",3,5,1,1,3,3,1,1,1,1,1,1,2,5,4,5,5,5,5,5,5,5,5,5,3,3,5,5,"D","AE","B"
43,NA,"QUINTA NORMAL","PONIENTE","MAPOCHO","WALKER MARTINEZ","A","D",67,155,"B","A","ÑUÑOA",NA,"A",3,0,"B","B",NA,"F",NA,NA,1,2,1,1,2,1,5,5,5,5,5,5,NA,"F",NA,NA,NA,NA,NA,"F","F","F",NA,NA,NA,NA,NA,"F",NA,NA,1,1,"G","G",2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,"F","B",NA,5,5,NA,"1",2,"B",NA,"B",NA,2,5,"B",NA,NA,NA,5,5,"A",1,"1","1","1","F","B",1,5,3,3,3,3,1,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,"D","F","A"
187,NA,"PUENTE ALTO","SUR ORIENTE","EL PEÑON","LAS NIEVES","A","B",58,161,"D","F","ESTACION CENTRAL",NA,"B",3,1,"B","B",NA,"E","F","C",1,4,1,2,4,1,4,4,5,5,4,5,"H","F","A","G","G","H","E","F","F","A","F","A","G","G","H","D","G","B",1,5,"G","G",2,3,3,4,2,3,4,2,4,3,3,3,2,2,5,4,5,"CEFGH","AB",5,5,5,5,"2",3,"B",NA,"A",NA,2,5,"A","B",5,5,5,5,"A",2,"3","3","1","B","A",2,4,3,3,3,3,3,2,2,2,1,1,1,3,3,3,5,5,5,5,5,5,5,5,4,1,5,5,"D","A","B"
330,NA,"MAIPU","PONIENTE",NA,NA,"A","B",65,170,"D","A","PROVIDENCIA",NA,"D",3,0,"A","B",NA,"F","E","A",4,3,3,4,3,2,3,3,3,4,4,4,"ABCDGH","BCDEFGH","DGH","AGH","DEFGH",NA,"A",NA,"EFH","ABCF","DGH",NA,"GH","GH","EFGH","BCEFH","GH","AD",3,5,"ABDF","ABDF",4,4,3,4,3,2,5,5,4,4,4,4,4,4,4,4,5,"ABCEFGH","D",4,4,4,4,"3",3,"B",NA,"A","AEF",2,4,"B",NA,5,5,3,3,"A",3,"4","3","2","CE","A",4,4,3,2,3,3,2,1,2,2,2,3,3,3,2,4,4,4,4,3,4,4,4,3,2,3,4,5,"D","F","A"
337,NA,"ÑUÑOA","ORIENTE","IRARRAZABAL","MONCKBERG","A","C",98,164,"D","A","RENCA",NA,"D",2,0,"B","B",NA,"F","E","B",4,4,3,3,3,3,1,1,3,2,2,5,"GH","D","ABCDEFGH","GH","GH","G","ABCEH","AF","F","AF","EGH","AB","GH","GH","CF","DE","GH","AB",3,3,"A","A",5,5,5,4,4,2,4,5,1,1,1,1,1,1,5,4,5,"BCEFGH","A",2,2,5,2,"4",3,"B",NA,"B",NA,2,3,"B",NA,2,2,2,2,"A",3,"3","3","1","B","A",5,5,4,4,5,4,3,2,1,1,1,1,1,2,2,2,5,5,5,5,5,5,5,4,1,3,1,5,"D","A","B"
409,NA,"PUENTE ALTO","SUR ORIENTE","SAN CARLOS",NA,"B","C",90,178,"C","A","PUDAHUEL",NA,"C",2,0,"A","B",NA,"E","A","H",5,2,3,3,5,3,4,4,4,5,5,5,"A","D","G","A","G","F","A","E","F","E","B","H","H","H","B","E","A","A",4,5,"A","A",3,4,5,5,4,4,2,5,3,4,4,4,4,4,5,4,4,"A","D",3,5,5,5,"3",3,"B",NA,"A","A",2,3,"A","A",4,5,5,5,"A",2,"1","1","1","F","A",4,5,4,4,4,5,5,5,5,3,2,3,1,4,5,5,5,5,5,5,5,5,5,5,4,3,3,5,"D","F","B"
427,NA,"PUDAHUEL","PONIENTE","LAGUNA SUR",NA,"A","C",52,152,"D","A","PROVIDENCIA",NA,"D",2,0,"A","B",NA,"E","F","A",3,4,2,2,3,3,4,2,4,5,5,3,"AEGH","BCFH","AEG","AGH","GH","H","A","F","EF","CEF","AGH","AB","GH","GH","AH","EF","AGH","AB",3,4,"D","D",4,4,5,4,3,4,2,5,2,2,4,3,5,2,5,5,4,"ACEFGH","BD",3,4,4,5,"3",2,"B",NA,"A","A",2,4,"B",NA,5,5,4,5,"A",4,"3","3","4","B","A",4,4,2,2,3,2,2,4,4,2,1,1,1,5,5,4,5,5,4,4,5,5,5,3,2,2,4,5,"D","B","B"
443,NA,"PUENTE ALTO","SUR ORIENTE","NONATO COO","LOS TOROS","A","E",NA,NA,"C","A","PROVIDENCIA",NA,"B",3,0,"A","B",NA,"E","F","B",1,NA,1,2,1,1,5,4,5,5,5,5,"AB","EF","AB",NA,"EF","F","B","EF","EF","EF","E","B","B","B",NA,"EF","B","B",1,5,"G","G",2,4,4,2,2,2,2,2,2,2,2,2,2,2,5,5,5,"ABEF",NA,5,5,5,5,"3",3,"B",NA,"B",NA,2,3,"B",NA,NA,3,NA,NA,"A",3,"1","2","2","F","A",NA,4,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,3,1,3,5,"D","AE","B"
